app_name,app_package_id,app_version
.NET Reflector Desktop 11,{F7CE2BF4-4540-488B-8870-3A42DCD14DD2},11.1.0.2167
1Password,1Password,8.10.4
2.05.05,Smartwizard Discovery_is1,
30MPC Jason Bays Cold Calling Framework,d89ee30269cedbbd6f34dc4699521c94,1
3CDaemon,3CDaemon,
3D Christmas in the City Screensaver,3D Christmas in the City Screensaver,
3Dcadsoft viewer,3Dcadsoft viewer,8.3.0.0
3DEXPERIENCE Marketplace for SOLIDWORKS,{0060450C-5B44-424B-BD42-559F2A5D820A},6.30.1030
3uTools,3uTools,2.57.031
3uTools(32bit),3uToolsV3_x86,3.09.006
4G Mobile Hotspot,{AEFF9E60-3E93-41EE-9895-311F7D1C5FFD},1.0.0.3
4identity Client,4identity_bit4id,2.4.24
4K Video Downloader,{f39153ff-0719-4970-b4e0-576e4bab07c9},4.22.1.5160
4K Video Downloader+,{ecc33ed1-4838-4865-9923-2db6b1f8715d},1.3.0.38
4K YouTube to MP3,{db440482-1c5a-4d17-b3af-b9fe3aa7b957},5.1.1.57
4t Tray Minimizer Free 6.07,4t Tray Minimizer_is1,6.07
4Team OST PST Viewer,{884009C7-FCE6-4361-9842-DBE7A44D3ED8},1.30.0132
4Team OST2,{EC747D5D-B624-44FB-BDE7-DFAF5EEBAA73},2.20.0033
4uKey 3.0.24.7,{4uKey}_is1,3.0.24.7
7-Zip,7-Zip,24.05
